Benchmark finished!
|     |   batch |   q_seq_length |   kv_seq_length |   num_heads_q |   num_heads_kv |   head_dim | causal   | local   | use_sinks   |   page_size | provider   |     tflops |   bandwidth |         ms |
|----:|--------:|---------------:|----------------:|--------------:|---------------:|-----------:|:---------|:--------|:------------|------------:|:-----------|-----------:|------------:|-----------:|
|   0 |       1 |            128 |            1024 |            16 |              4 |         64 | True     | False   | True        |           0 | flash_attn |  9.21003   |    26.9825  |   0.058292 |
|   1 |       1 |            128 |            1024 |            16 |              4 |         64 | True     | False   | True        |         128 | flash_attn |  8.64694   |    25.3328  |   0.062088 |
|   2 |       1 |            128 |            4096 |            16 |              4 |         64 | True     | False   | True        |           0 | flash_attn | 10.3607    |    22.7652  |   0.207272 |
|   3 |       1 |            128 |            4096 |            16 |              4 |         64 | True     | False   | True        |         128 | flash_attn |  9.7057    |    21.326   |   0.22126  |
|   4 |       1 |            128 |            1024 |            16 |              8 |         64 | True     | False   | True        |           0 | flash_attn |  9.20182   |    44.9308  |   0.058344 |
|   5 |       1 |            128 |            1024 |            16 |              8 |         64 | True     | False   | True        |         128 | flash_attn |  8.66144   |    42.2922  |   0.061984 |
|   6 |       1 |            128 |            4096 |            16 |              8 |         64 | True     | False   | True        |           0 | flash_attn | 10.5057    |    43.6026  |   0.204412 |
|   7 |       1 |            128 |            4096 |            16 |              8 |         64 | True     | False   | True        |         128 | flash_attn |  9.82578   |    40.7808  |   0.218556 |
|   8 |       1 |            128 |            1024 |            16 |              4 |        128 | True     | False   | True        |           0 | flash_attn | 21.8507    |    64.0156  |   0.04914  |
|   9 |       1 |            128 |            1024 |            16 |              4 |        128 | True     | False   | True        |         128 | flash_attn | 20.1256    |    58.9618  |   0.053352 |
|  10 |       1 |            128 |            4096 |            16 |              4 |        128 | True     | False   | True        |           0 | flash_attn | 25.6588    |    56.3791  |   0.167388 |
|  11 |       1 |            128 |            4096 |            16 |              4 |        128 | True     | False   | True        |         128 | flash_attn | 23.4447    |    51.5141  |   0.183196 |
|  12 |       1 |            128 |            1024 |            16 |              8 |        128 | True     | False   | True        |           0 | flash_attn | 21.6672    |   105.797   |   0.049556 |
